iter	Passed	Remaining
419	2889	3990
420	2895	3982
421	2903	3977
422	2909	3969
423	2915	3960
424	2921	3952
425	2927	3944
426	2936	3939
427	2941	3930
428	2947	3922
429	2953	3914
430	2959	3907
431	2968	3903
432	2974	3894
433	2985	3893
434	2994	3889
435	3001	3882
436	3009	3877
437	3018	3872
438	3023	3863
439	3029	3855
440	3035	3847
441	3042	3840
442	3049	3834
443	3055	3825
444	3060	3817
445	3068	3811
446	3074	3803
447	3081	3797
448	3087	3789
449	3094	3782
450	3107	3782
451	3112	3773
452	3118	3765
453	3132	3767
454	3138	3759
455	3143	3750
456	3150	3742
457	3158	3737
458	3163	3729
459	3170	3722
460	3179	3717
461	3184	3708
462	3194	3705
463	3200	3696
464	3210	3693
465	3215	3684
466	3221	3677
467	3227	3668
468	3234	3662
469	3239	3653
470	3246	3646
471	3254	3640
472	3260	3632
473	3265	3624
474	3272	3616
475	3278	3609
476	3285	3477	477	3308	3613
478	3314	3605
479	3321	3480	3335	3599
481	3342	3592
482	3347	3583
483	483	3352	3484	484	3359	3485	3398	3594
486	3442	3626
487	3447	3617
488	3456	3611
489	3461	3602
490	3498	3626
491	3509	3623
492	3514	3614
493	3525	3611
494	3531	3603
495	3539	3596
496	3546	3588
497	3551	3579
498	3557	3571
499	3562	3562
500	3569	3555
501	3578	3550
502	3586	3544
503	3592	3535
504	3598	3527
505	3605	3519
506	3610	3510
507	3624	3510
508	3630	3501
509	3636	3493
510	3642	3485
511	3647	3476
512	3662	3476
513	3669	3469
514	3674	3460
515	3680	3452
516	3686	3444
517	3692	3435
518	3707	3435
519	3713	3427
520	3745	3443
521	3752	3435
522	3757	3427
523	3762	3418
524	3770	3411
525	3803	3427
526	3815	3424
527	3820	3415
528	3826	3407
529	3838	3403
530	3852	3402
531	3858	3394
532	3865	3387
533	3871	3378
534	3876	3369
535	3882	3361
536	3892	3356
537	3898	3348
538	3905	3340
539	3914	3334
540	3922	3327
541	3948	3336
542	3954	3328
543	3964	3323
544	3973	3317
545	3980	3309
546	3993	3307
547	4001	3300
548	4006	3291
549	4012	3283
550	4020	3275
551	4033	3273
552	4040	3266
553	4052	3262
554	4060	3255
555	4069	3249
556	4078	3243
557	4088	3238
558	4095	3230
559	4104	3224
560	4110	3216
561	4118	3209
562	4125	3201
563	4133	3195
564	4139	3187
565	4148	3181
566	4160	3177
567	4172	3173
568	4182	3167
569	4189	3160
570	4196	3153
571	4207	3148
572	4218	3143
573	4224	3135
574	4232	3128
575	4239	3121
576	4247	3113
577	4255	3106
578	4266	3102
579	4272	3094
580	4281	3087
581	4288	3079
582	4296	3073
583	4304	3066
584	4314	3060
585	4321	3052
586	4331	3047
587	4345	3044
588	4357	3040
589	4363	3032
590	4368	3023
591	4380	3018
592	4385	3009
593	4394	3003
594	4400	2995
595	4410	2989
596	4420	2984
597	4429	2977
598	4434	2968
599	4442	2961
600	4449	2954
601	4459	2948
602	4465	2940
603	4475	2934
604	4482	2926
605	4491	2920
606	4500	2913
607	4508	2906
608	4514	2898
609	4532	2897
610	4539	2890
611	4559	2890
612	4567	2883
613	4574	2875
614	4580	2867
615	4586	2858
616	4594	2852
617	4601	2844
618	4608	2836
619	4616	2829
620	4627	2823
621	4634	2816
622	4642	2809
623	4649	2801
624	4657	2794
625	4669	2790
626	4677	2782
627	4684	2774
628	4690	2766
629	4701	2760
630	4708	2753
631	4716	2746
632	4726	2740
633	4738	2735
634	4752	2731
635	4760	2724
636	4770	2718
637	4786	2716
638	4794	2708
639	4806	2703
640	4822	2701
641	4830	2693
642	4841	2688
643	4851	2681
644	4859	2674
645	4873	2670
646	4885	2665
647	4899	2661
648	4906	2653
649	4916	2647
650	4923	2639
651	4932	2632
652	4942	2626
653	4956	2622
654	4969	2617
655	4976	2609
656	4983	2601
657	4989	2593
658	4997	2585
659	5003	2577
660	5011	2570
661	5018	2562
662	5028	2556
663	5034	2547
664	5040	2539
665	5051	2533
666	5064	2528
667	5072	2520
668	5080	2513
669	5087	2505
670	5095	2498
671	5101	2489
672	5109	2482
673	5118	2475
674	5127	2468
675	5134	2460
676	5142	2453
677	5153	2447
678	5163	2441
679	5171	2433
680	5179	2426
681	5186	2418
682	5197	2412
683	5213	2408
684	5221	2401
685	5234	2395
686	5243	2389
687	5254	2383
688	5265	2376
689	5273	2369
690	5282	2362
691	5293	2356
692	5306	2350
693	5317	2344
694	5327	2337
695	5335	2330
696	5349	2325
697	5364	2321
698	5372	2313
699	5378	2305
700	5385	2297
701	5393	2289
702	5399	2281
703	5407	2273
704	5416	2266
705	5423	2258
706	5432	2251
707	5440	2243
708	5454	2238
709	5463	2231
710	5474	2225
711	5485	2218
712	5491	2210
713	5505	2205
714	5513	2197
715	5520	2189
716	5530	2182
717	5538	2175
718	5550	2169
719	5567	2165
720	5576	2157
721	5585	2150
722	5597	2144
723	5606	2137
724	5616	2130
725	5630	2124
726	5640	2118
727	5649	2110
728	5657	2103
729	5665	2095
730	5671	2087
731	5679	2079
732	5687	2071
733	5697	2064
734	5710	2058
735	5727	2054
736	5748	2051
737	5759	2044
738	5769	2037
739	5775	2029
740	5795	2025
741	5801	2017
742	5809	2009
743	5825	2004
744	5832	1996
745	5859	1995
746	5872	1988
747	5886	1983
748	5903	1978
749	5909	1969
750	5915	1961
751	5924	1953
752	5931	1945
753	5939	1937
754	5945	1929
755	5951	1920
756	5958	1912
757	5964	1904
758	5975	1897
759	5982	1889
760	5990	1881
761	5998	1873
762	6007	1866
763	6017	1858
764	6031	1852
765	6046	1847
766	6055	1839
767	6061	1831
768	6071	1823
769	6080	1816
770	6089	1808
771	6096	1800
772	6103	1792
773	6109	1783
774	6120	1776
775	6126	1768
776	6135	1760
777	6141	1752
778	6148	1744
779	6157	1736
780	6164	1728
781	6173	1721
782	6180	1712
783	6186	1704
784	6193	1696
785	6200	1688
786	6209	1680
787	6217	1672
788	6226	1665
789	6234	1657
790	6241	1649
791	6251	1641
792	6257	1633
793	6265	1625
794	6273	1617
795	6281	1609
796	6287	1601
797	6294	1593
798	6303	1585
799	6315	1578
800	6322	1570
801	6332	1563
802	6339	1555
803	6345	1546
804	6358	1540
805	6366	1532
806	6372	1524
807	6380	1516
808	6386	1507
809	6395	1500
810	6400	1491
811	6418	1486
812	6432	1479
813	6442	1472
814	6449	1464
815	6456	1455
816	6464	1448
817	6470	1439
818	6479	1432
819	6487	1424
820	6496	1416
821	6502	1408
822	6509	1399
823	6514	1391
824	6521	1383
825	6530	1375
826	6537	1367
827	6545	1359
828	6551	1351
829	6558	1343
830	6567	1335
831	6576	1327
832	6582	1319
833	6589	1311
834	6596	1303
835	6602	1295
836	6611	1287
837	6617	1279
838	6624	1271
839	6630	1262
840	6638	1255
841	6644	1246
842	6653	1239
843	6661	1231
844	6669	1223
845	6676	1215
846	6683	1207
847	6689	1199
848	6701	1191
849	6707	1183
850	6717	1176
851	6742	1171
852	6748	1162
853	6754	1154
854	6760	1146
855	6766	1138
856	6772	1130
857	6779	1122
858	6787	1114
859	6802	1107
860	6819	1100
861	6824	1092
862	6831	1084
863	6836	1076
864	6842	1067
865	6852	1060
866	6858	1052
867	6865	1044
868	6872	1036
869	6883	1028
870	6889	1020
871	6899	1012
872	6905	1004
873	6911	996
874	6918	988
875	6928	980
876	6934	972
877	6944	964
878	6950	956
879	6957	948
880	6965	940
881	6975	933
882	6981	925
883	6988	917
884	6994	908
885	7000	900
886	7007	892
887	7013	884
888	7019	876
889	7027	868
890	7042	861
891	7048	853
892	7058	845
893	7064	837
894	7070	829
895	7076	821
896	7085	813
897	7099	806
898	7110	798
899	7120	791
900	7127	783
901	7133	775
902	7142	767
903	7149	759
904	7155	751
905	7159	742
906	7163	734
907	7166	726
908	7173	718
909	7176	709
910	7179	701
911	7181	692
912	7186	684
913	7190	676
914	7193	668
915	7196	659
916	7199	651
917	7203	643
918	7207	635
919	7210	627
920	7213	618
921	7216	610
922	7220	602
923	7223	594
924	7226	585
925	7229	577
926	7232	569
927	7235	561
928	7238	553
929	7240	544
930	7243	536
931	7247	528
932	7251	520
933	7253	512
934	7256	504
935	7259	496
936	7262	488
937	7267	480
938	7270	472
939	7272	464
940	7276	456
941	7278	448
942	7284	440
943	7288	432
944	7292	424
945	7295	416
946	7300	408
947	7303	400
948	7306	392
949	7309	384
950	7312	376
951	7315	368
952	7317	360
953	7320	352
954	7324	345
955	7330	337
956	7333	329
957	7336	321
958	7338	313
959	7342	305
960	7346	298
961	7349	290
962	7352	282
963	7354	274
964	7357	266
965	7363	259
966	7366	251
967	7368	243
968	7371	235
969	7374	228
970	7379	220
971	7381	212
972	7384	204
973	7387	197
974	7391	189
975	7394	181
976	7396	174
977	7399	166
978	7402	158
979	7404	151
980	7411	143
981	7414	135
98982	7387	1298983	7390	1298984	7394	1198985	7399	1098986	7403	998987	7406	898988	7413	898989	7416	799990	7419	67
991	7423	59
992	7429	52
993	7432	44
994	7436	37
995	7439	29
996	7443	22
997	7446	14
998	7449	7
999	7451	0
