iter	RMSE
209	25529.22956
210	25484.79919
211	25439.66018
212	25406.24992
213	25350.47759
214	25313.9385
215	25274.14875
216	25226.58937
217	25191.41125
218	25139.68104
219	25104.25528
220	25065.58186
221	25027.90283
222	24997.39085
223	24954.08541
224	24916.62528
225	24890.49939
226	24854.94161
227	24843.33921
228	24811.10662
229	24773.20913
230	24737.50907
231	24697.86423
232	24659.22624
233	24624.70197
234	24575.02159
235	24543.71177
236	24498.14374
237	24475.12955
238	24443.5071
239	24416.17214
240	24375.58049
241	24354.2604
242	24315.63388
243	24281.966
244	24242.08059
245	24215.8013
246	24177.72269
247	24149.67697
248	24126.64868
249	24101.90193
250	24072.77371
251	24044.96863
252	24023.84435
253	23991.50524
254	23961.05176
255	23932.77751
256	23901.17007
257	23871.66779
258	23854.68131
259	23835.7365
260	23809.95007
261	23785.00844
262	23766.46463
263	23745.85175
264	23715.96596
265	23688.80973
266	23658.18594
267	23630.23584
268	23593.38731
269	23570.26403
270	23536.55633
271	23508.1317
272	23480.23102
273	23454.77921
274	23425.30723
275	23404.37463
276	23378.65684
277	23351.74051
278	23324.27312
279	23293.49208
280	23268.39652
281	23233.83185
282	23196.68344
283	23178.86744
284	23153.14564
285	23134.4265
286	23114.23283
287	23091.96016
288	23065.96778
289	23044.16875
290	23020.94459
291	22998.22584
292	22976.06212
293	22955.54843
294	22935.52714
295	22910.29941
296	22889.42139
297	22870.6616
298	22847.90896
299	22825.27054
300	22796.01819
301	22774.8579
302	22752.8271
303	22735.56867
304	22712.47221
305	22692.59843
306	22663.8729
307	22642.1772
308	22613.24298
309	22590.29538
310	22563.80066
311	22538.33099
312	22511.41755
313	22492.71857
314	22472.42343
315	22455.79637
316	22435.08265
317	22407.31429
318	22383.15685
319	22364.14297
320	22349.93182
321	22336.59388
322	22310.90254
323	22285.97933
324	22266.93345
325	22249.88388
326	22230.26005
327	22207.78325
328	22179.15731
329	22155.06092
330	22136.01095
331	22115.53283
332	22096.31663
333	22072.06567
334	22044.90539
335	22022.32829
336	21995.57949
337	21970.29335
338	21948.17805
339	21932.71165
340	21920.26198
341	21894.47667
342	21873.30554
343	21852.66659
344	21826.56944
345	21808.39735
346	21789.70305
347	21764.104
348	21745.00928
349	21729.6645
350	21703.22754
351	21684.79363
352	21667.77336
353	21648.84989
354	21626.24688
355	21610.78087
356	21598.14335
357	21576.92753
358	21562.59529
359	21541.20833
360	21526.46895
361	21500.37828
362	21480.95785
363	21461.71486
364	21443.96628
365	21421.98639
366	21412.4747
367	21389.52985
368	21367.07609
369	21355.90539
370	21334.25831
371	21318.04508
372	21300.30979
373	21288.5784
374	21276.76682
375	21267.81641
376	21253.0431
377	21231.87155
378	21211.49953
379	21199.90682
380	21186.52106
381	21174.76468
382	21164.02402
383	21147.90197
384	21131.66716
385	21117.0953
386	21097.18366
387	21081.63095
388	21067.4513
389	21051.72588
390	21032.2603
391	21014.22706
392	20991.49951
393	20968.19506
394	20949.19031
395	20928.68509
396	20917.85852
397	20903.36642
398	20891.25182
399	20877.03554
400	20860.13444
401	20853.09
402	20846.25951
403	20831.09756
404	20817.02036
405	20798.21974
406	20785.71558
407	20765.66458
408	20751.8213
409	20737.2625
410	20719.44304
411	20712.27139
412	20694.58096
413	20679.66431
414	20664.65906
415	20657.97806
416	20646.7144
417	20630.19018
418	20614.5847
419	20593.05312
420	20577.86033
421	20570.82819
422	20554.38963
423	20540.81198
424	20527.98357
425	20512.95842
426	20495.33955
427	20484.13122
428	20473.15326
429	20460.07208
430	20445.72364
431	20426.20531
432	20412.20518
433	20402.50361
434	20386.57413
435	20370.72666
436	20354.67281
437	20343.97029
438	20329.08656
439	20315.32594
440	20301.96734
441	20285.57434
442	20264.35009
443	20259.36421
444	20242.38678
445	20223.83467
446	20214.96712
447	20198.72687
448	20176.826
449	20162.39088
450	20144.1361
451	20135.28594
452	20129.37067
453	20118.99183
454	20105.66894
455	20094.40831
456	20078.37013
457	20061.9208
458	20043.01411
459	20025.69568
460	20008.51002
461	19997.52919
462	19985.75973
463	19971.39196
464	19965.29289
465	19954.00831
466	19934.67042
467	19926.14504
468	19910.3428
469	19901.20822
470	19885.79141
471	19869.6468
472	19859.1921
473	19844.20425
474	19830.47916
475	19821.23445
476	19808.46557
477	19794.92861
478	19780.59083
479	19768.26433
480	19754.88058
481	19744.92686
482	19735.49442
483	19718.53336
484	19711.55185
485	19700.9742
486	19686.25043
487	19670486	20276.13494
487	20264.11927
488	20490	19640.27617
491	19626.490	20492	19613.491	20493	19598492	20494	19580.493	20495	19563.494	20496	19553.495	20497	19542.496	20498	19533.497	20499	19522.498	20500	19513499	201501	1950500	2008502	1949501	2007503	1948502	2006504	1947503	200505	19463504	200506	19448505	200507	19437506	200508	19431507	19997.6663
508	19983.35837
509	19977.01076
510	199512	19392511	199513	19381512	19940.35784
513	19931.49798
514	19915.65205
515	19899.23439
516	19884.11845
517	19871.57354
518	19860.52382
519	19847.92699
520	19842.27844
521	19834.64336
522	19817.80547
523	19812.74234
524	19802.95573
525	19796.2835
526	19785.45788
527	19773.9936
528	19758.4991
529	19737.72178
530	19721.03966
531	19707.63166
532	19686.35683
533	19677.9948
534	19670.34375
535	19660.25978
536	19640.34588
537	19632.06708
538	19618.31962
539	19609.00948
540	19598.44205
541	19591.94144
542	19572.64381
543	19561.37098
544	19546.25166
545	19539.9497
546	19529.43935
547	19514.64194
548	19493.90594
549	19480.05406
550	19468.68395
551	19457.94953
552	19441.84147
553	19437.2553
554	19431.82197
555	19421.42413
556	19416.80621
557	19401.29542
558	19391.22749
559	19378.48624
560	19372.11661
561	19366.37911
562	19346.71964
563	19341.84239
564	19328.04057
565	19323.8147
566	19316.34746
567	19311.03475
568	19299.09167
569	19279.4498
570	19267.95133
571	19253.03767
572	19238.33297
573	19226.16864
574	19215.66487
575	19201.85236
576	19197.93186
577	19193.59998
578	19182.42106
579	19174.34318
580	19170.50766
581	19158.64879
582	19146.97699
583	19138.8855
584	19129.91383
585	19122.39545
586	19109.17394
587	19095.29704
588	19090.4905
589	19076.95334
590	19069.53516
591	19064.5598
592	19054.94284
593	19040.57789
594	19031.90557
595	19020.0125
596	19007.5291
597	19004.46448
598	18987.39088
599	18976.01851
600	18961.05468
601	18953.74843
602	18944.29543
603	18940.0007
604	18929.23355
605	18914.40602
606	18907.49569
607	18894.49094
608	18888.99175
609	18883.30357
610	18873.1422
611	18861.71714
612	18856.4555
613	18848.63483
614	18841.93166
615	18827.96822
616	18821.66985
617	18817.89056
618	18812.94954
619	18809.66771
620	18800.31226
621	18794.85957
622	18781.60794
623	18776.1271
624	18765.91043
625	18758.66095
626	18741.55527
627	18731.79183
628	18728.70381
629	18723.21883
630	18715.94862
631	18708.01039
632	18695.19598
633	18679.01292
634	18676.92026
635	18671.40785
636	18666.68735
637	18661.54414
638	18659.6147
639	18651.48702
640	18647.66472
641	18644.39618
642	18636.77277
643	18621.06926
644	18610.65338
645	18605.95968
646	18601.76258
647	18590.97306
648	18580.82197
649	18573.36887
650	18566.97266
651	18559.61746
652	18554.73789
653	18548.9332
654	18533.18348
655	18524.10411
656	18519.34585
657	18504.02227
658	18494.54928
659	18486.41695
660	18481.73194
661	18480.17823
662	18469.94064
663	18460.84753
664	18456.2204
665	18454.32844
666	18449.77015
667	18443.00701
668	18438.30047
669	18434.24336
670	18416.90806
671	18413.43093
672	18399.86311
673	18393.1497
674	18386.52544
675	18376.92747
676	18372.39373
677	18362.08239
678	18355.16372
679	18348.76116
680	18342.94372
681	18336.63975
682	18327.68337
683	18321.59087
684	18306.64841
685	18300.30843
686	18296.21952
687	18289.13699
688	18280.63109
689	18276.59101
690	18259.88279
691	18244.48783
692	18229.04317
693	18223.67326
694	18219.44
695	18205.19288
696	18192.73893
697	18185.68128
698	18181.73108
699	18173.76977
700	18160.07823
701	18156.58527
702	18152.04202
703	18137.35915
704	18122.55888
705	18108.10741
706	18098.56505
707	18089.38665
708	18085.32616
709	18077.63712
710	18060.73732
711	18048.37636
712	18041.92477
713	18028.74825
714	18024.12567
715	18017.87364
716	18009.91024
717	17997.84013
718	17990.5326
719	17977.09587
720	17969.92413
721	17956.84883
722	17953.47251
723	17947.71181
724	17940.27684
725	17930.49055
726	17926.75779
727	17923.47091
728	17915.02995
729	17907.0186
730	17903.32646
731	17891.53476
732	17887.89998
733	17884.162
734	17875.9975
735	17865.88392
736	17859.55787
737	17855.48882
738	17851.04071
739	17840.19352
740	17836.96724
741	17828.92683
742	17826.35656
743	17820.28493
744	17818.63813
745	17815.48697
746	17812.36295
747	17808.89368
748	17805.81844
749	17792.94844
750	17781.3003
751	17769.48379
752	17760.5379
753	17754.91357
754	17745.28059
755	17740.35461
756	17736.90587
757	17727.6467
758	17711.4407
759	17702.09632
760	17687.33592
761	17685.05075
762	17682.77029
763	17672.36966
764	17669.38143
765	17653.81144
766	17640.28864
767	17629.70561
768	17627.16947
769	17615.55601
770	17608.84614
771	17599.05754
772	17595.01848
773	17588.18545
774	17584.18771
775	17580.70506
776	17574.36873
777	17572.85978
778	17564.7021
779	17561.20799
780	17548.42356
781	17533.88655
782	17531.00476
783	17524.58905
784	17519.08486
785	17516.41508
786	17510.98638
787	17499.78126
788	17497.14367
789	17493.42541
790	17490.07289
791	17486.71115
792	17483.89547
793	17472.14261
794	17456.12217
795	17448.65175
796	17431.37304
797	17424.81492
798	17413.5504
799	17409.59946
800	17406.82957
801	17398.09325
802	17383.4619
803	17382.08899
804	17373.38389
805	17359.91289
806	17350.35321
807	17343.1864
808	17340.59099
809	17335.37175
810	17324.01612
811	17311.74923
812	17309.23473
813	17300.75164
814	17292.17094
815	17289.00975
816	17284.14455
817	17274.14038
818	17261.91127
819	17251.32964
820	17242.98066
821	17241.00582
822	17238.33565
823	17233.37232
824	17219.75647
825	17214.79674
826	17209.78255
827	17193.78528
828	17190.7133
829	17183.39018
830	17174.75678
831	17164.98284
832	17163.01189
833	17150.30366
834	17139.64313
835	17136.36168
836	17133.35739
837	17123.05448
838	17115.02751
839	17112.4931
840	17107.90008
841	17094.7085
842	17091.41306
843	17083.52767
844	17081.5799
845	17073.60634
846	17065.7289
847	17057.32802
848	17049.5507
849	17038.99852
850	17028.75743
851	17027.86466
852	17023.59412
853	17015.63499
854	17007.81275
855	16995.45212
856	16992.98972
857	16988.49505
858	16978.27959
859	16975.03114
860	16966.85544
861	16956.27165
862	16953.97005
863	16947.1604
864	16943.96177
865	16932.0383
866	16924.53274
867	16921.45157
868	16908.22007
869	16899.6178
870	16895.25938
871	16886.78705
872	16885.96908
873	16883.57617
874	16878.90235
875	16865.73728
876	16863.10423
877	16860.22255
878	16854.87649
879	16847.76063
880	16844.95171
881	16835.68171
882	16833.10326
883	16823.38363
884	16808.63717
885	16798.44852
886	16789.58894
887	16785.27009
888	16777.21637
889	16764.9363
890	16760.01756
891	16757.80228
892	16755.60626
893	16747.17337
894	16741.70648
895	16732.39609
896	16727.76215
897	16712.89192
898	16705.06494
899	16698.37711
900	16684.8159
901	16681.30141
902	16666.27024
903	16657.59356
904	16655.83523
905	16648.9783
906	16647.35322
907	16642.69822
908	16636.34937
909	16622.29506
910	16613.93889
911	16610.23642
912	16600.87292
913	16598.2271
914	16591.28414
915	16583.08582
916	16575.99257
917	16565.13767
918	16556.39565
919	16550.16328
920	16546.13241
921	16543.61169
922	16538.73947
923	16532.6176
924	16523.89515
925	16519.96335
926	16510.85583
927	16508.77648
928	16499.12504
929	16484.95857
930	16482.48604
931	16466.48282
932	16461.97319
933	16454.1286
934	16445.28734
935	16434.45781
936	16430.63122
937	16422.4405
938	16420.75603
939	16409.52087
940	16401.77559
941	16394.37753
942	16380.22657
943	16374.36906
944	16370.40034
945	16363.80866
946	16359.87999
947	16350.52367
948	16346.71998
949	16344.35653
950	16340.59942
951	16327.46427
952	16313.72001
953	16303.38303
954	16299.66545
955	16297.26705
956	16291.35515
957	16280.71663
958	16276.24675
959	16274.45309
960	16266.37063
961	16257.55779
962	16250.58025
963	16241.79228
964	16238.29396
965	16226.38854
966	1621968	1578967	1621969	1577968	1620970	1577969	1618971	1576970	1617972	1576971	1616973	1575972	1615974	1574973	161975	15740974	161976	15734.53539
977	15726.44305
978	15722.40581
979	15719.7256
980	15712.77025
981	15706.44893
982	15697.90322
983	15689.38854
984	15683.00635
985	15679.692
986	15673.7168
987	15668.1654
988	15662.28313
989	15660.01005
990	15645.19099
991	15639.02366
992	15632.05754
993	15629.61583
994	15619.88845
995	15617.72724
996	15611.62435
997	15608.70098
998	15603.91621
999	15595.78523
5996.01646
999	15995.28112
